💞综合频道,#genre# 

东莞一套,http://wtv.weetai.cn/iptv/2022/tyzb32.php?id=4
东莞二套,http://wtv.weetai.cn/iptv/2022/tyzb32.php?id=5
韩国·KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
泰国PBS,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
TV BRICS,http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
新视觉HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
丹麦TV2,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
韩国·MBC综合,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
丝绸之路,http://stream2.xiancity.cn/xatv5/sd/live.m3u8
李子柒4K,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
南国都市,http://112.74.200.9:88/tv000000/IPTV/tianma3600.php?id=gzngds

💞电影频道,#genre# 
1905电影,http://txtest-xp2p.p2p.huya.com/huyalive/1199513205060-1199513205060-5228390287876816896-2399026533576-10057-A-0-1.xs
CATCHPLAY电影,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
黑莓电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225769/index.m3u8
欧美影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/7185203501769528108/index.m3u8?channel-id=wasusyt&Contentid=7185203501769528108&livemode=1&stbId=no
亚洲影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/5841816227539527643/index.m3u8?channel-id=wasusyt&Contentid=5841816227539527643&livemode=1&stbId=no
东森电影,http://120.84.96.74:808/hls/32/index.m3u8
东森洋片,http://120.84.96.74:808/hls/33/index.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8


💞港澳频道,#genre# 
凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://120.84.96.69:808/hls/81/index.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
澳门卫视,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
星空卫视,http://120.84.96.74:808/hls/79/index.m3u8
星空卫视,http://182.150.115.26:8091/custom24.m3u8
天映经典,http://120.84.96.74:808/hls/85/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv


💞体育频道,#genre# 
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
广东体育,http://e59abdd420c65d43cc1550d493a88c71.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/2300.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
PP体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
风尚运动,http://211.94.219.178:18080/PLTV/68/224/3221226429/index.m3u8

💞4K频道,#genre#
CCTV4K,https://p.ggiptv.com/v/4k.m3u8
CCTV4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV16奥林匹克3,http://39.135.138.60:18890/TVOD/88888910/224/3221226233/index.m3u8
CCTV16HDR,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8?hls
纯享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8

💘央视蓝光,#genre#
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
